State,Decade,Active tuberculosis,Acute hepatitis C,Acute nonparalytic poliomyelitis,Acute paralytic poliomyelitis,Acute poliomyelitis,Acute type A viral hepatitis,Acute type B viral hepatitis,Amebic dysentery,Anthrax,Aseptic meningitis,Babesiosis,Bacillary dysentery,Brucellosis,Campylobacteriosis,Chlamydia trachomatis infection,Chlamydial infection,Cholera,Coccidioidomycosis,Cryptosporidiosis,Dengue,Dengue hemorrhagic fever,Dengue without warning signs,Diphtheria,Disorder of nervous system caused by West Nile virus,Dysentery,Encephalitis,Encephalitis lethargica,Giardiasis,Gonorrhea,Haemophilus influenzae infection,Hepatitis non-A non-B,Human anaplasmosis caused by Anaplasma phagocytophilum,Human ehrlichiosis caused by Ehrlichia chaffeensis,Infantile paralysis,Infection caused by Escherichia coli,Infection caused by larvae of Trichinella,Infection caused by non-cholerae vibrio,Infection caused by Shiga toxin producing Escherichia coli,Infective encephalitis,Inflammatory disease of liver,Influenza,Invasive drug resistant Streptococcus pneumoniae disease,Invasive Group A beta-hemolytic streptococcal disease,Invasive meningococcal disease,Invasive Streptococcus pneumoniae disease,Legionella infection,Leprosy,Lobar pneumonia,Lyme disease,Malaria,Measles,Meningitis,Meningococcal infectious disease,Meningococcal meningitis,Mumps,Murine typhus,Ornithosis,Pellagra,Pertussis,Pneumonia,Post-infectious encephalitis,Primary encephalitis,Rocky Mountain spotted fever,Rubella,Salmonella infection,Scarlet fever,Shigellosis,Smallpox,Smallpox without rash,Spotted fever group rickettsial disease,Streptococcal sore throat,Tetanus,Toxic shock syndrome,Tuberculosis,Tularemia,Typhoid and paratyphoid fevers,Typhoid fever,Typhus group rickettsial disease,Varicella,Viral hepatitis,Viral hepatitis type B,"Viral hepatitis, type A",West Nile fever without encephalitis,Yellow fever
ALABAMA,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALABAMA,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,0,44,0,0,0,0,0,863,0,0,106,1,0,0,0,0,0,22
ALABAMA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,62,0,0,0,0,0,0,80,0,59,0,0,0,0,0,1364,0,0,481,0,0,0,0,0,0,0
ALABAMA,1910,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,60,0,0,8679,187,0,0,0,0,0,0,61,531,0,0,0,0,0,1123,0,2147,0,0,0,0,0,5364,0,0,3258,0,0,0,0,0,0,0
ALABAMA,1920,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8280,0,0,0,64,0,0,0,0,0,0,86,0,0,0,0,0,0,105786,0,0,0,0,0,0,0,0,0,24602,102,0,172,1918,0,0,552,1847,5473,0,0,0,0,0,5413,0,5535,0,0,0,0,0,5352,0,0,4564,4,2732,0,0,0,0,0
ALABAMA,1930,0,0,0,0,1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15933,0,0,0,27,0,0,0,0,0,0,31,0,0,0,0,0,0,136771,0,0,0,0,0,0,0,0,0,68360,0,0,1902,456,0,0,263,5095,3727,0,0,0,0,0,13788,0,1386,0,0,0,0,0,2528,0,736,6063,0,969,0,0,0,0,0
ALABAMA,1940,0,0,0,0,2460,0,0,214,2,0,0,0,348,0,0,0,0,0,0,0,0,0,6041,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,75,0,129980,0,0,0,0,0,0,0,0,0,51574,16,0,1693,0,959,0,0,14477,5051,0,0,69,0,0,9623,0,127,0,0,0,0,0,448,123,1298,89,2173,0,0,0,0,0,0
ALABAMA,1950,0,0,161,365,3012,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,2174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,205,0,11345,0,0,0,0,0,0,0,0,90,62093,1,1213,193,0,122,6,0,5962,3819,0,0,35,0,0,3061,0,1,0,0,0,0,0,0,65,142,393,0,0,1,1779,0,0,0
ALABAMA,1960,0,0,3,106,112,0,0,0,0,410,0,0,41,0,0,0,0,0,0,0,0,0,206,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,51,31999,0,281,43,782,7,0,0,0,0,0,1,43,866,0,30178,0,0,0,0,1613,69,0,0,13,0,104,0,0,0,3858,1306,0,0
ALABAMA,1970,2459,0,0,0,0,0,0,0,0,1411,0,0,22,0,0,0,0,0,0,0,0,0,45,0,0,88,0,0,174714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2850,0,333,0,5187,0,0,0,82,0,80,120,153,1154,0,0,0,0,0,0,0,12,0,3531,2,0,59,0,5875,346,1456,3016,0,0
ALABAMA,1980,0,0,0,0,0,0,0,0,0,2301,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,43176,0,353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0,0,0,19,97,0,176,0,186,0,0,0,251,0,5,28,60,10,0,0,0,0,0,0,0,0,20,2405,0,0,18,0,2020,362,2920,933,0,0
ALABAMA,1990,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,100,0,0,0,388,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,10,0,0
ALABAMA,2000,0,0,0,0,0,19,80,0,0,0,0,0,0,0,0,8252,0,0,155,0,0,0,0,0,0,0,0,400,3654,42,0,0,0,0,31,0,0,46,0,0,0,0,0,6,0,8,0,0,10,14,0,0,0,0,3,0,0,0,143,0,0,0,73,3,1633,0,766,0,0,0,0,0,0,0,0,0,0,0,728,0,11,3,0,0
ALABAMA,2010,0,2,0,0,0,43,127,0,0,0,0,0,0,459,7009,40734,0,0,386,0,0,1,0,0,0,0,0,442,14076,112,0,13,17,0,0,0,24,71,0,0,0,0,0,0,332,104,0,0,43,16,0,0,0,0,1,0,0,0,180,0,0,0,245,0,1929,0,701,0,0,126,0,1,0,35,0,0,0,0,517,0,0,0,1,0
ALASKA,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
